fid,id,associated_tile,truth
1,2126,all_17679.tif,21
2,2701,all_16749.tif,21
3,3734,all_17493.tif,21
4,697,all_17865.tif,21
5,1329,all_16377.tif,21
6,1569,all_16005.tif,52
7,3542,all_16748.tif,21
8,3698,all_16376.tif,12
9,3733,all_17120.tif,21
10,1768,all_17492.tif,21
11,2779,all_17305.tif,32
12,2995,all_16562.tif,21
13,1344,all_16933.tif,42
14,1481,all_17677.tif,21
15,4920,all_17863.tif,21
16,696,all_17316.tif,21
17,1098,all_16571.tif,23
18,1130,all_17503.tif,21
19,1309,all_16944.tif,21
20,1979,all_16572.tif,21
21,2423,all_17131.tif,21
22,2940,all_16758.tif,21
23,3618,all_16573.tif,21
24,3751,all_16386.tif,21
25,4051,all_17688.tif,21
26,4395,all_16387.tif,21
27,4678,all_17130.tif,23
28,5574,all_17689.tif,23
29,367,all_17498.tif,21
30,469,all_17500.tif,21
31,699,all_17127.tif,21
32,1304,all_15822.tif,52
33,1328,all_16194.tif,21
34,1791,all_17313.tif,11
35,2059,all_16754.tif,21
36,2462,all_16755.tif,21
37,2636,all_17128.tif,23
38,2678,all_16197.tif,21
39,3291,all_17497.tif,23
40,3670,all_17684.tif,11
41,3739,all_16383.tif,21
42,545,all_17866.tif,21
43,1964,all_16936.tif,23
44,2000,all_17495.tif,21
45,2017,all_16378.tif,21
46,2862,all_16937.tif,21
47,3632,all_15820.tif,52
48,3836,all_17315.tif,21
49,4250,all_17312.tif,21
50,4388,all_17682.tif,21
51,4512,all_17122.tif,24
52,4730,all_16007.tif,24
53,4742,all_16380.tif,23
54,4768,all_16942.tif,11
55,260,all_20106.tif,21
56,331,all_19547.tif,21
57,767,all_18432.tif,21
58,863,all_19920.tif,12
59,1263,all_18805.tif,21
60,1625,all_18804.tif,21
61,1736,all_18618.tif,11
62,4773,all_17125.tif,23
63,5186,all_17496.tif,21
64,5481,all_16195.tif,21
65,5624,all_16757.tif,21
66,5860,all_15823.tif,42
67,5868,all_17683.tif,21
68,72,all_19173.tif,11
69,152,all_17871.tif,21
70,181,all_19170.tif,24
71,384,all_18054.tif,21
72,471,all_18059.tif,14
73,689,all_19918.tif,23
74,707,all_18987.tif,21
75,946,all_18244.tif,21
76,1349,all_18058.tif,21
77,1494,all_18616.tif,21
78,1667,all_18800.tif,11
79,1781,all_19360.tif,21
80,1904,all_18615.tif,11
81,472,all_17867.tif,21
82,2179,all_18430.tif,21
83,2499,all_20105.tif,23
84,2599,all_18427.tif,11
85,2821,all_19548.tif,21
86,2835,all_18985.tif,11
87,2974,all_18983.tif,12
88,3209,all_18798.tif,21
